text,audio,image
"à bord",data-lexique/INS2/U9/a_bord.m4a,
"un capitaine",data-lexique/INS2/U9/un_capitaine.m4a,data-lexique/INS2/U9/capitaine_bateau.jpeg
"un cargo",data-lexique/INS2/U9/un_cargo.m4a,data-lexique/INS2/U9/un_cargo.jpeg
"un équipage",data-lexique/INS2/U9/un_equipage.m4a,data-lexique/INS2/U9/equipage_bateau.jpeg
"un lever de soleil",data-lexique/INS2/U9/un_lever_soleil.m4a,data-lexique/INS2/U9/un_lever_soleil.jpeg
"un coucher de soleil",data-lexique/INS2/U9/un_coucher_soleil.m4a,data-lexique/INS2/U9/un_coucher_soleil.jpeg
"la marine",data-lexique/INS2/U9/la_marine.m4a,
"un navire",data-lexique/INS2/U9/un_navire.m4a,
"un océan",data-lexique/INS2/U9/un_ocean.mp3,data-lexique/INS2/U9/un_ocean.jpeg
"un officier",data-lexique/INS2/U9/un_officier.mp3,
"une passerelle",data-lexique/INS2/U9/une_passerelle.mp3,
"un port",data-lexique/INS2/U9/un_port.mp3,data-lexique/INS2/U9/port.jpeg
"une route maritime",data-lexique/INS2/U9/une_route_maritime.mp3,
"une traversée",data-lexique/INS2/U9/une_traversee.mp3,
"une baleine",data-lexique/INS2/U9/une_baleine.mp3,data-lexique/INS2/U9/une_baleine.jpeg
"un dauphin",data-lexique/INS2/U9/un_dauphin.mp3,data-lexique/INS2/U9/un_dauphin.jpeg
"un poisson volant",data-lexique/INS2/U9/un_poisson_volant.mp3,data-lexique/INS2/U9/un_poisson_volant.jpeg
"une arrivée",data-lexique/INS2/U9/une_arrivee.mp3,
"une aventure",data-lexique/INS2/U9/en_train.mp3,
"une cabine",data-lexique/INS2/U9/une_cabine.mp3,data-lexique/INS2/U9/cabine_bateau.jpeg
"un continent",data-lexique/INS2/U9/un_continent.mp3,
"un départ",data-lexique/INS2/U9/un_depart.mp3,
"une destination",data-lexique/INS2/U9/une_destination.mp3,
"une durée",data-lexique/INS2/U9/une_duree.mp3,
"une escale",data-lexique/INS2/U9/une_escale.mp3,
"un passager",data-lexique/INS2/U9/un_passager.mp3,
"une passagère",data-lexique/INS2/U9/une_passagere.mp3,
"en avion",data-lexique/INS2/U9/en_avion.mp3,data-lexique/INS2/U9/en_avion.jpeg
"en bateau",data-lexique/INS2/U9/en_bateau.mp3,data-lexique/INS2/U9/en_bateau.jpeg
"en car",data-lexique/INS2/U9/en_car.mp3,data-lexique/INS2/U9/en_car.jpeg
"en train",data-lexique/INS2/U9/une_aventure.mp3,data-lexique/INS2/U9/en_train.jpeg
"un guide",data-lexique/INS2/U9/un_guide.mp3,
"un guide (touristique)",data-lexique/INS2/U9/un_guide_touristique.mp3,
"les préparatifs",data-lexique/INS2/U9/les_preparatifs.mp3,
"un risque",data-lexique/INS2/U9/un_risque.mp3,
"un sac",data-lexique/INS2/U9/un_sac.mp3,
"une valise",data-lexique/INS2/U9/une_valise.mp3,data-lexique/INS2/U9/valise.jpeg
"se débrouiller",data-lexique/INS2/U9/se_debrouiller.mp3,
"guider",data-lexique/INS2/U9/guider.mp3,
"un billet",data-lexique/INS2/U9/un_billet.mp3,
"un chemin",data-lexique/INS2/U9/un_chemin.mp3,
"une étape",data-lexique/INS2/U9/une_etape.mp3,
"un itinéraire",data-lexique/INS2/U9/un_itineraire.mp3,
"un kilomètre(km)",data-lexique/INS2/U9/un_kilometre.mp3,data-lexique/INS2/U9/un_kilometre.jpeg
"une petite route",data-lexique/INS2/U9/une_petite_route.mp3,data-lexique/INS2/U9/une_petite_route.jpeg
"une route principale",data-lexique/INS2/U9/une_route_principale.mp3,
"longer",data-lexique/INS2/U9/longer.mp3,
"passer par",data-lexique/INS2/U9/passer_par.mp3,
"rejoindre",data-lexique/INS2/U9/rejoindre.mp3,
"remonter",data-lexique/INS2/U9/remonter.mp3,
"s'arrêter à",data-lexique/INS2/U9/s_arreter_a.mp3,
"en ligne droite",data-lexique/INS2/U9/en_ligne_droite.mp3,
"à vélo",data-lexique/INS2/U9/a_velo.mp3,data-lexique/INS2/U9/en_velo.jpeg
"en bus",data-lexique/INS2/U9/en_bus.mp3,data-lexique/INS2/U9/en_bus.jpeg
"en voiture",data-lexique/INS2/U9/en_voiture.mp3,data-lexique/INS2/U9/en_voiture.jpeg
"l'hébergement",data-lexique/INS2/U9/l_hebergement.mp3,
"une auberge",data-lexique/INS2/U9/une_auberge.mp3,
"le camping",data-lexique/INS2/U9/le_camping.mp3,data-lexique/INS2/U9/camping.jpeg
"le couchsurfing",data-lexique/INS2/U9/le_couchsurfing.mp3,data-lexique/INS2/U9/le_couchsurfing.jpeg
"chez l'habitant",data-lexique/INS2/U9/chez_l_habitant.mp3,
"un hôte",data-lexique/INS2/U9/un_hote.mp3,
"une hôte",data-lexique/INS2/U9/une_hote.mp3,
"une pension",data-lexique/INS2/U9/une_pension.mp3,
"une résidence",data-lexique/INS2/U9/une_residence.mp3,
"dormir a la belle étoile",data-lexique/INS2/U9/dormir-belle-etoile.mp3,data-lexique/INS2/U9/dormir_belle_etoile.jpeg
"accueillir",data-lexique/INS2/U9/accueillir.mp3,
"héberger",data-lexique/INS2/U9/heberger.mp3,